case_slug,slice,input_name,input_domain,linkedin_url
rebrand_source_row_1,rebranded_or_domain_changed,"Envirotech Vehicles, Inc.",evtvusa.com,https://www.linkedin.com/company/evirotechvehicles
rebrand_source_row_10,rebranded_or_domain_changed,Del Monte Corporation,freshdelmonte.com,https://www.linkedin.com/company/delmontecorporation
rebrand_source_row_13,rebranded_or_domain_changed,Current,current.co,https://www.linkedin.com/company/current-advisors
rebrand_source_row_16,rebranded_or_domain_changed,Airspeed,goairspeed.com,https://www.linkedin.com/company/go-airspeed
rebrand_source_row_17,rebranded_or_domain_changed,Kinisla,kinisla.com,https://www.linkedin.com/company/kinislagroup
rebrand_source_row_18,rebranded_or_domain_changed,SimplyPMG,simplypmg.com,https://www.linkedin.com/company/simplypmg
rebrand_source_row_21,rebranded_or_domain_changed,Lucen Software,lucensoftware.com,https://www.linkedin.com/company/lucen-software
rebrand_source_row_22,rebranded_or_domain_changed,Clarevia Ventures,clarevia.com,https://www.linkedin.com/company/clarevia
rebrand_source_row_23,rebranded_or_domain_changed,ClearOpx,clearopx.com,https://www.linkedin.com/company/clearopx
rebrand_source_row_27,rebranded_or_domain_changed,SugarAI,sugarai.com,https://www.linkedin.com/company/sugarcrm
rebrand_source_row_30,rebranded_or_domain_changed,enGene,engene.com,https://www.linkedin.com/company/engene
rebrand_source_row_31,rebranded_or_domain_changed,BlueDolphin,bluedolphin.io,https://www.linkedin.com/company/bluedolphinhq
rebrand_source_row_35,rebranded_or_domain_changed,Tempo Innovations,tempoenergy.com,https://www.linkedin.com/company/tempoinnovations
rebrand_source_row_36,rebranded_or_domain_changed,Brickwork GTM,brick.work,https://www.linkedin.com/company/brickwork-gtm
rebrand_source_row_37,rebranded_or_domain_changed,Agility Robotics,agilityrobotics.com,https://www.linkedin.com/company/agilityrobotics
rebrand_source_row_39,rebranded_or_domain_changed,Blackboard,blackboard.com,https://www.linkedin.com/company/blackboardco
rebrand_source_row_40,rebranded_or_domain_changed,Fifty5Blue,fifty5blue.com,https://www.linkedin.com/company/fifty5blue
rebrand_source_row_42,rebranded_or_domain_changed,Elumn8 Medical (formerly Simpson Interventions),elumn8.com,https://www.linkedin.com/company/elumn8-medical
rebrand_source_row_47,rebranded_or_domain_changed,RPX Gold Inc. (TSX-V: RPX   OTCQB: RDEXF),rpxgold.com,https://www.linkedin.com/company/rpxgold
rebrand_source_row_48,rebranded_or_domain_changed,Covista,covista.com,https://www.linkedin.com/company/covista-official
rebrand_source_row_49,rebranded_or_domain_changed,Glancy Prongay Wolke & Rotter LLP,glancylaw.com,https://www.linkedin.com/company/glancy-prongay-wolke-rotter-llp
rebrand_source_row_50,rebranded_or_domain_changed,Evolve Private Wealth,evolveprivatewealth.com,https://www.linkedin.com/company/evolveprivatewealth
rebrand_source_row_51,rebranded_or_domain_changed,Nakamoto,nakamoto.com,https://www.linkedin.com/company/nakamotoinc
rebrand_source_row_52,rebranded_or_domain_changed,SER Group,doxis.com,https://www.linkedin.com/company/sergroup
rebrand_source_row_53,rebranded_or_domain_changed,CWILL,cwill.com,https://www.linkedin.com/company/cwill
rebrand_source_row_54,rebranded_or_domain_changed,Dynamic Core Capital Partners,dynamiccorecapital.com,https://www.linkedin.com/company/dynamiccorecapital
rebrand_source_row_55,rebranded_or_domain_changed,CMA,thecmagroup.com,https://www.linkedin.com/company/cma-advisors-group
rebrand_source_row_56,rebranded_or_domain_changed,Definium Therapeutics,definiumtx.com,https://www.linkedin.com/company/definiumtherapeutics
rebrand_source_row_58,rebranded_or_domain_changed,Orion Digital,orion-digital.com,https://www.linkedin.com/company/oriondigitalcorp
rebrand_source_row_6,rebranded_or_domain_changed,Manago AI,manago.ai,https://www.linkedin.com/company/managoai
rebrand_source_row_60,rebranded_or_domain_changed,Vaiire,vaiire.com,https://www.linkedin.com/company/vaiire
rebrand_source_row_61,rebranded_or_domain_changed,Asbury Advanced Materials,asbury.com,https://www.linkedin.com/company/asbury-advanced-materials
rebrand_source_row_62,rebranded_or_domain_changed,ENvue Medical,envuemed.com,https://www.linkedin.com/company/envuemedical
rebrand_source_row_63,rebranded_or_domain_changed,The Rock-It Company,rockitcompany.com,https://www.linkedin.com/company/therockitcompany
rebrand_source_row_65,rebranded_or_domain_changed,Everforth,everforth.com,https://www.linkedin.com/company/everforth
rebrand_source_row_66,rebranded_or_domain_changed,"USA TODAY Co., Inc.",usatodayco.com,https://www.linkedin.com/company/usatodayco
rebrand_source_row_67,rebranded_or_domain_changed,BNB Plus,adnas.com,https://www.linkedin.com/company/bnb-plus-corp
rebrand_source_row_69,rebranded_or_domain_changed,Nextpower,nextpower.com,https://www.linkedin.com/company/nextpowerinc
rebrand_source_row_70,rebranded_or_domain_changed,Ladder Bio Inc.,ladderbio.com,https://www.linkedin.com/company/ladderbio
rebrand_source_row_72,rebranded_or_domain_changed,Optimum,optimum.com,https://www.linkedin.com/company/optimum
rebrand_source_row_73,rebranded_or_domain_changed,bohan Advertising,artistsandoutlaws.com,https://www.linkedin.com/company/bohan
rebrand_source_row_77,rebranded_or_domain_changed,Innovative Aerosystems,iascorp.com,https://www.linkedin.com/company/innovative-aerosystems
rebrand_source_row_80,rebranded_or_domain_changed,Marsh Risk,marsh.com,https://www.linkedin.com/company/marshrisk
rebrand_source_row_81,rebranded_or_domain_changed,Calira,calira.co,https://www.linkedin.com/company/calira
rebrand_source_row_83,rebranded_or_domain_changed,Reflect Health,reflecthealth.com,https://www.linkedin.com/company/reflect-health-solutions
rebrand_source_row_84,rebranded_or_domain_changed,Huwise,huwise.com,https://www.linkedin.com/company/huwise
rebrand_source_row_85,rebranded_or_domain_changed,TIC Solutions,ticsolutions.com,https://www.linkedin.com/company/ticsolutions
rebrand_source_row_86,rebranded_or_domain_changed,Q/C Technologies,qctechnologies.com,https://www.linkedin.com/company/qctechnologiesqcls
rebrand_source_row_87,rebranded_or_domain_changed,Luciq,luciq.ai,https://www.linkedin.com/company/luciq
rebrand_source_row_9,rebranded_or_domain_changed,"Shoe Carnival, Inc.",shoecarnival.com,https://www.linkedin.com/company/shoe-carnival
rebrand_source_row_94,rebranded_or_domain_changed,Wellspring Family Office,wellspringfo.com,https://www.linkedin.com/company/wellspring-family-office
rebrand_source_row_96,rebranded_or_domain_changed,"Bed Bath & Beyond, Inc.",beyond.com,https://www.linkedin.com/company/bed-bath-and-beyond-bbbt
rebrand_source_row_97,rebranded_or_domain_changed,Strategy,strategy.com,https://www.linkedin.com/company/strategy
ww_0012a83c1e6cda9d73a22dbeaac47e8f,stable_large,Bradford Council,bradford.gov.uk,https://www.linkedin.com/company/bradford-council
ww_00f4c22a198d95f4f8eb1608ddf4c9ec,subsidiary,Romano Signs,romanosigns.co.za,https://www.linkedin.com/company/romano-signs
ww_01a4ebc5504ed829b7c7358b36ebef95,long_tail,Modernia,modernia.com.ar,https://www.linkedin.com/company/modernia
ww_037f16602eb7373091454e99f0c8da5c,long_tail,Care Onboard Home Healthcare Center,care-onboard.com,https://www.linkedin.com/company/care-onboard-home-healthcare-center
ww_03e062d9f92027490903f1d2a49da9b9,stable_large,Harcourts Real Estate,harcourts.net,https://www.linkedin.com/company/harcourts
ww_04503fa46b58adb0e50c421ed5249180,long_tail,AutocentroCapri,autocentrocapri.com,https://www.linkedin.com/company/autocentrocapri
ww_048ec01d04362c38ca9aad65258e5093,long_tail,Laoshi,laoshi.io,https://www.linkedin.com/company/laoshi
ww_06d07fac68a3b137e3cdf18e55d4061a,long_tail,Solidarity Wealth,solidaritywealth.com,https://www.linkedin.com/company/solidarity-wealth
ww_09a7ae5955da82295abd34ba63761291,stable_large,Rhode Island School of Design,risd.edu,https://www.linkedin.com/school/risd1877
ww_0a3fcddca63177e7b2fbac811f2413a3,subsidiary,BRD Sogelease,brdleasing.ro,https://www.linkedin.com/company/brd-sogelease
ww_0b444e668f2ebed85bfd5e2babd6d70e,stable_large,Deutsche Angestellten Akademie - DAA,daa.de,https://www.linkedin.com/company/deutsche-angestellten-akademie---daa
ww_0dd54372781ae14a129219c5566a9fcb,long_tail,REVEL Dance Convention,dancerevel.com,https://www.linkedin.com/company/revel-dance-convention
ww_0e4075da2a2527fdb67ab9469f626fc2,long_tail,Hospeco Brands Group,hospecobrands.com,https://www.linkedin.com/company/hospecobrands
ww_11ec7760151ba99608c124fc23a05b3a,stable_large,Cybage Software,cybage.com,https://www.linkedin.com/company/cybage
ww_11f314ac631b971bb63f9967b65278a1,stable_large,Prefeitura Municipal da Serra,serra.es.gov.br,https://www.linkedin.com/company/prefeituraserra
ww_11fda74849e1a70aea1b8c941dd63859,stable_large,PT Adaro Energy Indonesia Tbk,adaro.com,https://www.linkedin.com/company/adaroenergy
ww_12c26854bcd45f5946775c31a00f5062,subsidiary,NoBrokerHood,nobrokerhood.com,https://www.linkedin.com/company/nobrokerhood
ww_133ba05b352951272ee8b075ff836aed,subsidiary,ADVANCE.AI,advance.ai,https://www.linkedin.com/company/advanceai-aai
ww_136fd5494ff226ff5d6571170a1d9e3c,stable_large,L&T Construction,lntecc.com,https://www.linkedin.com/company/l-t-ecc
ww_152cc96f307286122fa26a5ee3c13e5a,long_tail,ALPFA USC Chapter,alpfausc.com,https://www.linkedin.com/company/alpfa-usc-chapter
ww_1567ea411b1b2726d3486d15a57a822f,stable_large,Virginia Tech,vt.edu,https://www.linkedin.com/school/virginia-tech
ww_157b7cb6a857384c73cb44f599016c7e,stable_large,Lunet,lunet.nl,https://www.linkedin.com/company/lunet
ww_15cc49b41290dbf4f0165f8c6d115233,long_tail,Mican Technologies Inc.,micantech.net,https://www.linkedin.com/company/mican-technologies
ww_17650bd2b86d755728a4bcf42a6c3f4c,long_tail,BERT Containers,bertcontainers.be,https://www.linkedin.com/company/bert-containers
ww_19aa455f36aea97e91b8aa760118d241,subsidiary,Shopurfood - Food Delivery Software,shopurfood.com,https://www.linkedin.com/company/shopurfood1
ww_1a1c3d25c9e4ab664c031e1628a8982c,subsidiary,Wescon Industries,wesconusa.com,https://www.linkedin.com/company/wescon
